First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
5,0,1,0,2,1,1,0,0,0,118,11,1,3,5,104,10,3,3,2,140,11,4,1,2,135,9,1,1,1,4,8,2,1,4,120,10,0,3,2,83,10,5,3,4,134,11,2,2,4,42,8,0,1,6,31,8,2,2,4,-1
7,0,0,2,1,0,1,0,0,0,116,11,2,0,5,99,10,11,2,0,88,9,0,3,5,108,9,0,3,2,12,7,0,2,4,61,9,1,7,2,80,9,5,2,1,133,11,4,1,2,117,9,0,1,5,10,7,0,2,5,-1
2,7,0,1,1,2,0,1,0,0,108,11,5,2,3,89,9,3,3,3,107,10,1,5,2,102,9,2,5,0,9,7,1,5,3,70,9,2,5,4,80,9,4,3,2,130,11,4,1,2,138,10,8,2,2,7,9,2,1,8,-1
8,0,0,0,1,2,0,1,0,0,94,9,1,8,0,84,9,3,3,2,112,10,4,1,0,112,9,1,3,1,8,8,0,1,5,129,11,4,1,2,111,11,7,0,4,112,10,1,1,2,109,10,2,2,0,4,8,2,5,4,-1
6,4,0,1,2,1,0,1,0,0,93,9,2,6,2,96,10,4,2,3,125,11,4,2,2,137,10,2,0,1,21,9,1,1,6,116,10,7,2,0,97,9,2,1,4,131,10,1,3,1,105,9,1,3,2,2,7,0,4,4,-1
5,9,1,0,2,1,0,1,0,0,116,10,3,4,1,102,10,1,1,5,121,11,1,0,1,141,10,3,0,3,23,8,4,2,6,103,11,3,2,1,96,9,2,2,2,104,9,2,4,1,105,8,0,3,1,24,7,0,1,3,1
3,4,0,1,1,2,0,1,0,0,53,9,3,5,3,108,10,1,0,6,84,9,5,5,0,129,10,3,0,3,29,7,1,1,3,116,11,0,4,4,99,10,6,2,3,117,10,5,3,2,117,9,0,2,2,20,6,0,2,3,-1
3,3,1,0,3,0,1,0,0,0,100,11,3,0,3,117,10,4,1,2,132,10,3,0,3,119,10,2,1,6,2,7,4,2,4,120,10,0,2,0,94,9,0,4,4,103,9,2,5,1,93,8,2,2,0,14,7,0,3,2,1
3,1,0,1,1,0,1,0,0,0,125,11,2,1,2,139,11,5,0,1,94,10,4,4,3,134,9,2,2,3,22,8,1,1,5,110,10,0,4,1,114,10,2,3,2,97,9,4,3,2,127,9,2,2,1,27,7,0,2,2,1
7,4,2,0,1,0,1,0,0,0,82,11,8,2,0,84,9,5,2,3,95,10,3,3,1,134,10,2,3,4,5,7,2,4,4,95,9,0,8,2,90,9,8,2,2,101,10,2,3,4,109,9,4,2,5,22,7,0,5,6,1
4,4,1,0,1,0,1,0,0,0,96,10,0,3,3,80,9,8,0,4,139,11,2,1,7,135,10,2,1,1,21,8,0,0,8,103,11,3,1,1,102,9,0,4,1,101,9,1,4,1,131,8,1,2,0,27,7,0,1,1,1
5,2,1,1,2,0,1,0,0,0,121,11,1,4,0,69,9,5,2,7,125,11,3,1,9,135,10,0,1,6,3,8,5,1,6,128,11,2,1,0,83,9,4,3,3,114,10,1,5,1,126,9,1,3,1,22,8,1,2,3,1
7,9,0,1,0,2,1,0,0,0,101,10,1,5,3,93,9,1,5,2,110,9,3,2,0,108,8,0,4,0,5,7,0,2,2,79,10,4,3,3,93,10,5,2,2,131,11,3,0,4,140,10,3,0,4,7,8,3,0,5,-1
3,5,0,1,1,0,1,0,0,0,82,9,4,4,0,88,9,0,1,2,140,11,3,2,1,118,8,0,2,0,24,8,0,2,1,76,9,2,3,3,113,10,2,1,4,111,10,1,2,6,137,9,6,0,0,3,8,0,1,7,-1
