champ1.1,kills1.1,assists1.1,deaths1.1,gold1.1,champ1.2,kills1.2,assists1.2,deaths1.2,gold1.2,champ1.3,kills1.3,assists1.3,deaths1.3,gold1.3,champ1.4,kills1.4,assists1.4,deaths1.4,gold1.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,champ2.1,kills2.1,assists2.1,deaths2.1,gold2.1,champ2.2,kills2.2,assists2.2,deaths2.2,gold2.2,champ2.3,kills2.3,assists2.3,deaths2.3,gold2.3,champ2.4,kills2.4,assists2.4,deaths2.4,gold2.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,first blood,first tower,blue towers,red towers,blue dragons,red dragons,blue heralds,red heralds,blue barons,red barons,win
26,1,9,9,9590,5,10,7,8,15146,45,5,4,9,12118,523,7,6,3,16011,412,0,12,7,7797,164,8,8,3,16463,238,4,9,8,13074,517,4,9,4,13643,202,6,8,2,14580,29,14,5,6,16005,-1,-1,1,11,1,4,0,1,0,2,-1
875,1,8,15,10833,238,16,11,12,17735,99,6,16,6,12719,235,13,12,4,18199,497,2,26,9,9841,84,12,17,7,16850,91,13,13,7,17279,711,1,12,10,10378,202,17,10,1,21598,89,3,16,13,9918,-1,-1,4,8,2,3,1,1,1,1,-1
17,6,5,5,12359,120,8,12,3,13568,1,9,3,3,11120,222,1,9,4,8823,117,2,12,4,7394,23,4,3,6,10454,91,5,5,7,9706,13,4,4,4,9902,67,5,6,3,10148,43,1,11,6,7067,1,1,6,4,1,2,2,0,1,0,1
1,5,3,8,12182,64,7,4,5,13118,22,3,6,7,10321,164,5,6,9,12530,497,0,9,11,6779,777,14,5,5,16295,79,10,11,3,12684,238,6,13,5,12328,202,9,10,4,12990,89,1,14,3,8459,-1,-1,4,10,0,2,1,1,1,1,-1
777,6,6,6,16389,77,15,11,9,17151,114,12,15,8,14881,236,7,7,13,14786,350,4,24,8,11478,80,3,8,16,10962,64,13,17,7,15517,7,9,8,7,12762,222,17,10,9,19834,117,2,27,5,10478,-1,-1,9,6,2,2,0,2,1,1,1
36,8,15,10,13493,113,10,23,8,15687,266,8,15,8,14450,498,6,12,6,17089,555,13,17,9,18073,39,15,9,11,20543,76,13,9,6,13910,238,7,8,10,13005,202,4,14,9,12868,89,2,13,9,7979,-1,-1,9,6,2,1,0,0,2,0,1
887,1,2,5,7288,64,4,5,5,8850,134,7,6,1,10531,236,4,4,10,8202,267,4,7,9,6576,24,2,0,5,8266,141,6,6,3,9207,7,4,1,5,8311,222,16,5,4,16820,412,2,18,3,8350,-1,-1,1,5,0,2,1,0,0,1,-1
157,11,1,8,13137,234,2,6,10,7952,517,4,3,6,8726,81,7,6,9,10312,43,3,9,8,6999,887,4,6,10,10843,121,12,4,2,12859,69,7,9,4,12170,236,14,11,6,15116,201,2,26,5,8906,1,1,3,9,0,3,2,0,0,1,-1
39,6,7,3,12450,887,7,2,1,10831,134,4,4,7,8954,81,5,2,7,9205,35,8,6,10,8390,875,3,3,7,8102,64,7,4,5,9624,238,11,1,6,12385,51,3,13,8,10297,43,4,9,4,7030,-1,1,7,2,1,1,2,0,0,0,1
39,0,0,7,4658,234,0,2,6,3558,7,3,0,3,5752,51,0,1,4,4689,432,1,1,6,3744,48,4,6,2,7518,64,11,8,0,9859,134,6,7,1,7680,202,3,4,0,7384,89,2,8,1,5000,-1,-1,0,6,0,0,0,1,0,0,-1
98,2,16,2,6872,64,11,9,3,9709,55,6,8,3,8455,96,3,8,4,8313,117,3,16,4,5911,420,1,3,8,6723,246,4,1,4,7765,517,3,5,4,7801,202,4,4,5,8169,53,2,4,4,5327,-1,-1,1,1,0,3,1,1,0,0,1
517,4,1,2,10264,234,4,4,4,8860,238,4,2,12,8134,202,0,3,3,6432,201,0,5,7,4897,516,2,5,3,7016,76,5,8,3,9234,246,11,8,3,10972,119,5,5,3,11814,89,5,13,0,7553,1,1,3,4,0,3,1,1,0,1,-1
166,7,1,6,12172,121,12,7,9,12766,8,4,5,7,10423,202,3,6,9,9220,555,5,5,7,10175,41,7,4,3,14874,104,10,9,8,13323,38,10,8,4,14142,236,8,10,8,12856,267,3,19,8,8656,1,1,3,11,1,3,0,0,0,1,-1
31,5,1,10,9832,223,0,6,7,6219,238,6,3,5,10834,96,4,3,8,8046,350,1,8,5,6105,164,9,8,2,11377,254,8,15,4,11789,45,12,4,4,14636,29,6,5,4,9597,267,0,18,2,7172,-1,-1,0,11,1,2,0,2,0,0,-1
23,8,3,8,14329,56,7,17,9,13393,517,10,10,9,13749,67,6,6,7,11657,26,5,12,5,9526,98,7,6,5,11568,59,5,20,6,11809,4,11,13,10,16971,119,8,11,7,15755,235,7,17,9,11782,-1,-1,5,9,1,3,0,2,0,0,-1
39,16,8,3,20921,35,11,10,3,13236,38,9,4,7,13602,4,2,8,9,9105,267,2,15,8,8629,11,7,6,8,13506,17,5,1,6,12052,53,3,5,10,8693,236,11,5,7,16114,99,4,15,9,12390,-1,-1,10,6,3,1,1,1,1,1,1
17,5,2,8,13915,245,7,6,6,13461,517,11,9,5,15114,236,13,13,9,16478,267,6,24,5,11807,85,5,7,5,11761,64,6,7,7,12556,18,10,3,6,16985,4,4,11,13,10510,7,8,4,11,10648,1,-1,9,3,1,3,0,1,1,0,1
10,8,10,6,14400,106,11,15,4,14370,711,9,13,4,12088,67,9,8,5,13244,78,6,17,6,10429,92,8,7,5,15197,64,5,9,7,9819,45,1,7,9,10802,29,10,5,10,12636,111,1,12,12,7324,1,-1,11,3,4,0,2,0,0,1,1
30,13,27,14,17518,143,8,22,8,16383,55,21,19,14,19210,161,11,28,4,18384,16,1,43,7,14967,63,12,21,12,17761,107,12,17,13,17735,45,11,16,7,18375,53,10,21,9,16353,31,2,28,13,15154,-1,-1,4,3,0,0,0,0,0,0,1
238,5,13,6,8649,236,6,14,10,10626,6,4,13,10,8740,99,3,16,5,8615,76,7,14,6,9242,77,5,17,5,9915,350,3,33,1,9202,360,10,14,8,10412,38,16,14,7,12309,40,3,28,4,8948,-1,-1,1,4,0,0,0,0,0,0,-1
